network,mean_bc,std_bc,m_bc,M_bc,mean_cc,std_cc,m_cc,M_cc,mean_cl,std_cl,m_cl,M_cl,mean_ds,std_ds,m_ds,M_ds,mean_sv,std_sv,m_sv,M_sv,diameter,,
ba_022.csv,0.003626989,0.009149094,0,0.196803035,0.218426475,0.023234659,0.173829824,0.343416982,0.007934635,0.06251527,0,1,3.992,3.155930274,2,41,1.584397932,1.217244098,1.21E-17,8.212468965,8,,
ba_023.csv,0.00362569,0.008736924,0,0.129213949,0.218523739,0.023327398,0.169150017,0.324140169,0.006130456,0.045472376,0,1,3.992,3.202529031,2,36,1.579313487,1.223833694,2.16E-17,7.957754159,8,,
ba_024.csv,0.003652817,0.008459962,0,0.140193995,0.217129951,0.02269449,0.170013615,0.332445924,0.008613921,0.075447351,0,1,3.992,3.105411338,2,34,1.583509648,1.21839944,1.49E-18,8.050446813,8,,
ba_025.csv,0.00360169,0.008946407,0,0.135611619,0.219621876,0.023321883,0.173648531,0.330575778,0.010310476,0.081691493,0,1,3.992,3.229297813,2,38,1.573637141,1.231123938,2.40E-18,8.121908512,8,,
ba_026.csv,0.003638861,0.008292712,0,0.123551791,0.217779905,0.022692945,0.163529219,0.322258065,0.010318667,0.072450065,0,1,3.992,3.132690497,2,31,1.58709226,1.21372903,6.85E-18,7.919451372,8,,
ba_027.csv,0.003615544,0.008042945,0,0.096487258,0.218846246,0.022496799,0.16614003,0.314645669,0.00530739,0.056875829,0,1,3.992,3.208462284,2,33,1.574996677,1.229384182,8.98E-18,7.685575654,8,,
ba_028.csv,0.003611389,0.00829743,0,0.093723905,0.219134067,0.023019001,0.171032358,0.323300971,0.009726402,0.076183485,0,1,3.992,3.259226681,2,29,1.579914687,1.223057472,4.21E-17,8.129367107,8,,
ba_029.csv,0.003637982,0.008176122,0,0.112269233,0.217786551,0.02248815,0.169264656,0.324035031,0.010972969,0.082350835,0,1,3.992,3.143217431,2,34,1.585012361,1.216443922,2.26E-17,7.938555129,8,,
ba_030.csv,0.003601718,0.008847838,0,0.169442812,0.219590796,0.023164267,0.169465649,0.337728195,0.007106474,0.066269355,0,1,3.992,3.279434508,2,46,1.570831984,1.234701129,2.81E-18,8.258105384,8,,
ba_031.csv,0.003573361,0.008574741,0,0.129720235,0.220869133,0.022793923,0.172330516,0.333444593,0.009590189,0.076506211,0,1,3.992,3.278213337,2,34,1.573760378,1.230966397,3.25E-17,7.996269434,8,,
ba_032.csv,0.003568384,0.009281797,0,0.138181508,0.22135197,0.024115203,0.169350737,0.332889037,0.008030787,0.069105391,0,1,3.992,3.319782667,2,37,1.570772027,1.234777405,1.80E-17,8.243987276,8,,
